RESPONSE,Gender,Age group,Educational attainment,Annual income,M_SPENDING,Y_TELCOM,Y_CURRENT,MINS_CALL,H_SCREEN,M_DATA,SATISFACTION,RECOMMEND,QUALITY,NETWORK,PAYMENT,PRICE,REASON,CHURN
R001,Female,26-35,Master's degree,"£40,000-£60,000",5$,7,5,65,9.5,30,2,5,7,4,1,8,no,8
R002,Male,26-35,Master's degree,"£40,000-£60,000",1$,7 years,5 years,11,10,10,5,3,3,2,2,6,No,5
R003,Male,36-50,Master's degree,"£40,000-£60,000",30,5,2 years,16,1.5,40,,,7,9,1,8,My family,
R004,Male,26-35,Doctoral degree,"£40,000-£60,000",15£,15,9,6,5.5,45,5,9,4,6,1,6,,9
R005,Female,36-50,Bachelor's degree,"£60,000-£80,000",500,20,3,6,7,15,4,7,5,5,1,6,Ndbd,5
R006,Female,36-50,Bachelor's degree,"Above £80,000",4$,10,8,11,13.5,35,7,7,5,4,1,6,Viettel,7
R007,Male,50+,Master's degree,"£40,000-£60,000",10,3,3,1,18.5,35,7,8,7,8,2,7,I don't know ,8
R008,Female,36-50,Bachelor's degree,"Above £80,000",200000 VND,5,5,6,5.5,30,7,7,7,6,1,7,,7
R009,Male,50+,Bachelor's degree,"£40,000-£60,000",150$,2,2,6,13,35,2,5,4,5,2,5,im not,5
R010,Female,26-35,Doctoral degree,"£20,000-£40,000",160000,3,3,11,13,10,10,9,9,9,1,9,,9
R011,Male,26-35,High school diploma,"Under £20,000",4$,4 years,4 years,6,1.5,30,4,4,5,5,1,7,FPT,4
R012,Female,18-25,Master's degree,"£40,000-£60,000",10,4,3,11,11,30,8,8,7,8,2,8,I dont know,7
R013,Male,36-50,Bachelor's degree,"£60,000-£80,000",100$,3,2,6,20.5,45,4,6,3,6,1,5,,5
R014,Female,36-50,Master's degree,"£40,000-£60,000",50$,4,3,16,18,45,8,9,8,9,2,8,,8
R015,Female,36-50,Bachelor's degree,"£40,000-£60,000",2$,Maybe 10 years,10years,6,6,15,8,1,8,8,1,9,,8
R016,Female,26-35,Bachelor's degree,"£40,000-£60,000",450,11,11,75,14,30,9,8,8,8,1,8,,8
R017,Female,36-50,High school diploma,"£40,000-£60,000",650000 VND,5,5,16,13,20,9,8,8,8,1,8,,8
R018,Male,26-35,High school diploma,"£40,000-£60,000",1000000 VND,5 years,4 years,1,8,15,8,8,8,7,2,8,No ,8
R019,Male,50+,Doctoral degree,"£40,000-£60,000",30,3,3,6,14.5,1,5,6,7,4,1,6,Service,7
R020,Female,26-35,Bachelor's degree,"£20,000-£40,000",50,3,3,144,5.5,30,5,6,5,5,1,5,Service,5
R021,Male,26-35,Bachelor's degree,"£40,000-£60,000",100,5,1,6,12.5,30,8,4,9,4,1,6,My friends recommendation ,8
R022,Female,26-35,Master's degree,"£40,000-£60,000",3.5,5,3,16,17.5,7,9,10,7,8,1,7,I don't ,10
R023,Male,26-35,Master's degree,"£40,000-£60,000",9.69,9 years,10 years,98,17,25,8,8,9,7,2,8,Good network speed,8
R024,Male,36-50,Master's degree,"£40,000-£60,000",100,5,1,177,19,40,7,8,8,8,2,9,No I don't,9
R025,Male,26-35,Doctoral degree,"£40,000-£60,000",3.234,2 years,5 years,144,20.5,45,8,7,8,7,1,8,I don't know,8
R026,Female,36-50,Bachelor's degree,"£60,000-£80,000",2,3,3,16,11.5,30,8,7,8,8,1,8,"No, i dont",8
R027,Female,36-50,Bachelor's degree,"Above £80,000",2,3,3,6,19,35,8,8,8,8,1,8,"No, I don't",8
R028,Male,50+,Master's degree,"£40,000-£60,000",3 £,3 years,2.5 years,11,10,30,8,9,8,8,1,7,Ã¢Â€Â¦,9
R029,Female,36-50,Bachelor's degree,"Above £80,000",13 GBP,13,2,6,11,15,8,10,9,8,2,9,Stable transmission,8
R030,Male,50+,Bachelor's degree,"£40,000-£60,000",1,1,1,11,3,45,10,10,9,9,2,9,,10
R031,Female,26-35,Doctoral degree,"£20,000-£40,000",100,8,6,61,3,35,3,6,3,5,1,7,because it feels right to me,7
R032,Male,26-35,High school diploma,"Under £20,000",400000 VND,10 years,6 years,16,13,45,6,4,6,6,1,6,,6
R033,Female,18-25,Master's degree,"£40,000-£60,000",£10,5 years ,5 years ,1,18.5,35,8,9,7,8,1,9,No,8
R034,Male,36-50,Bachelor's degree,"£60,000-£80,000",3,1 year,2 years,6,6.5,15,1,1,1,1,1,1,,1
R035,Female,36-50,Master's degree,"£40,000-£60,000",0,8 years,2,1,9,15,9,9,9,9,1,9,I dont know,9
R036,Female,36-50,Bachelor's degree,"£40,000-£60,000",1,5 years,5 years,11,7,35,5,5,7,7,1,6,No,7
R037,Female,26-35,Bachelor's degree,"£40,000-£60,000",800,5,3,11,16.5,20,7,8,6,7,2,8,cost,8
R038,Female,36-50,High school diploma,"£40,000-£60,000",10,8,8,65,7.5,35,8,8,8,10,1,8,no,8
R039,Male,26-35,High school diploma,"£40,000-£60,000",5,10,5,11,6.5,15,6,8,8,7,1,8,Quality,8
R040,Male,50+,Doctoral degree,"£40,000-£60,000",6.44 GBP,8 years,I donÃ¢Â€Â™t remember ,16,13,25,10,7,7,6,2,7,Coverage,7
R041,Female,26-35,Bachelor's degree,"£20,000-£40,000",10,6,5,16,9,25,5,4,5,4,2,6,7,4
R042,Male,26-35,Bachelor's degree,"£40,000-£60,000",2,7,5,1,20,30,8,5,7,8,1,7,No,8
R043,Female,36-50,Doctoral degree,"£20,000-£40,000",1.61,10,7,16,17,45,9,10,9,9,1,10,,9
R044,Male,26-35,Bachelor's degree,"£40,000-£60,000",5,6 year,6 year,16,5,10,10,10,10,10,1,10,Very good,10
R045,Male,36-50,Master's degree,"£40,000-£60,000",1.61,10 year,10 year,16,17,3,9,9,9,9,1,9,i don't have no ideas about this question,9
